subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
S0FS3AD9zBOFrb47t3cSGDRQM,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,5/29/2019,17:19,right,1,6499.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,5/29/2019,17:19,left,1,5286.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,3,3post2,Boots_will_throw_the_giraffe_a_balloon,Can_you_throw_the_giraffe_the_balloon?,left,right,posttest,5/29/2019,17:19,left,1,6284.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,4,2fillerpost2,Boots_will_clean_the_chair_with_the_sponge,Can_you_clean_the_chair_with_the_sponge?,left,right,posttest_filler,5/29/2019,17:19,left,1,1325.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,5,6post2,Dora_the_explorer_will_throw_the_puppy_a_hamster,Can_you_throw_puppy_the_hamster?,right,left,posttest,5/29/2019,17:19,left,0,6460.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,6,1Post2,The_boy_will_send_the_tiger_a_present,Can_you_send_the_tiger_the_present?,left,right,posttest,5/29/2019,17:19,left,1,3928.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,7,2post2,The_girl_will_bring_the_horse_an_ice_cream,Can_you_bring_the_horse_the_ice_cream?,right,left,posttest,5/29/2019,17:19,right,1,3265.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,8,5post2,The_prince_will_bring_the_turtle_a_cat,Can_you_bring_the_turtle_the_cat?,right,left,posttest,5/29/2019,17:19,right,1,2683.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,9,4Post2,The_princess_will_send_the_lion_a_crocodile,Can_you_send_the_lion_the_crocodile?,right,left,posttest,5/29/2019,17:19,right,1,3418.104,1,22/02/2015,English,,,female,Post,PO,NonPred
S0FS3AD9zBOFrb47t3cSGDRQM,10,1fillerpost2,The_princess_will_tickle_the_teddy_bear_with_the_feather,Can_you_tickle_the_teddy_bear_with_the_feather?,left,right,posttest_filler,5/29/2019,17:19,left,1,10330.104,1,22/02/2015,English,,,female,Post,PO,NonPred
