subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
498wbE6Ds1TB31uO9iPg2FSGC,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,6/17/2019,11:19,right,1,1668.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,6/17/2019,11:19,left,1,2232.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,3,4FillerPre2,The_king_will_poke_the_jelly_with_the_fork,Can_you_poke_the_jelly_with_the_fork?,left,right,pretest_filler,6/17/2019,11:19,left,1,1683.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,4,6Pre2,Emily_elephant_will_bring_the_mouse_a_rabbit,Can_you_bring_the_mouse_the_rabbit?,left,right,pretest,6/17/2019,11:19,right,0,1423.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,5,3Pre2,Peppa_Pig_will_send_the_hamster_a_toy,Can_you_send_the_hamster_the_toy?,right,left,pretest,6/17/2019,11:19,left,0,1693.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,6,4Pre2,The_king_will_throw_the_turtle_a_squirrel,Can_you_throw_the_turtle_the_squirrel?,left,right,pretest,6/17/2019,11:19,right,0,1126.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,7,5Pre2,The_queen_will_send_the_monkey_a_horse,Can_you_send_the_monkey_the_horse?,right,left,pretest,6/17/2019,11:19,left,0,1572.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,8,2Pre2,The_girl_will_throw_the_elephant_a_clock,Can_you_throw_the_elephant_the_clock?,right,left,pretest,6/17/2019,11:19,right,1,13295.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,9,1Pre2,The_boy_will_bring_the_giraffe_a_cake,Can_you_bring_the_giraffe_the_cake?,right,left,pretest,6/17/2019,11:19,right,1,2763.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
498wbE6Ds1TB31uO9iPg2FSGC,10,1FillerPre2,Peppa_pig_will_bounce_the_ball_with_the_bat,Can_you_bounce_the_ball_with_the_bat?,left,right,pretest_filler,6/17/2019,11:19,right,0,2509.104,1,10/05/2015,English,Welsh,,female,Pre,PO,Pred
