subject_id,trial_number,trial_id,target_sentence,question,target_side,other_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,date_of_birth,native_lang,other_langs,dev_info,gender,order,sentence_type,animacy
QhsX0AqkF522OaKg4ng9m3aR1,1,2FillerPre2,The_boy_will_put_the_train_in_the_box,Can_you_put_the_train_in_the_box?,right,left,pretest_filler,6/18/2022,10:37,right,1,4663.103999999999,2,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,2,3FillerPre2,The_girl_will_move_the_hat_to_the_table,Can_you_move_the_hat_to_the_table?,left,right,pretest_filler,6/18/2022,10:37,left,1,1155.1039999999994,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,3,1Post2,The_boy_will_send_the_tiger_a_present,Can_you_send_the_tiger_the_present?,right,left,posttest,6/18/2022,10:37,right,1,5035.103999999999,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,4,2post2,The_girl_will_bring_the_horse_an_ice_cream,Can_you_bring_the_horse_the_ice_cream?,right,left,posttest,6/18/2022,10:37,right,1,3521.1039999999994,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,5,2fillerpost2,Boots_will_clean_the_chair_with_the_sponge,Can_you_clean_the_chair_with_the_sponge?,left,right,posttest_filler,6/18/2022,10:37,left,1,8225.104,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,6,1fillerpost2,The_princess_will_tickle_the_teddy_bear_with_the_feather,Can_you_tickle_the_teddy_bear_with_the_feather?,right,left,posttest_filler,6/18/2022,10:37,right,1,9708.104,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,7,6post2,Dora_the_explorer_will_throw_the_puppy_a_hamster,Can_you_throw_puppy_the_hamster?,left,right,posttest,6/18/2022,10:37,right,0,8862.104,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,8,3post2,Boots_will_throw_the_giraffe_a_balloon,Can_you_throw_the_giraffe_the_balloon?,right,left,posttest,6/18/2022,10:37,left,0,2090.1039999999994,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,9,5post2,The_prince_will_bring_the_turtle_a_cat,Can_you_bring_the_turtle_the_cat?,left,right,posttest,6/18/2022,10:37,left,1,6173.103999999999,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
QhsX0AqkF522OaKg4ng9m3aR1,10,4Post2,The_princess_will_send_the_lion_a_crocodile,Can_you_send_the_lion_the_crocodile?,left,right,posttest,6/18/2022,10:37,right,0,5925.103999999999,1,2017-09-03,English,Welsh,,male,Post,PO,NonPred
